,RegionName,SizeRank,Time,Value,Year,Month
3060,California,1,2015-01-01,2100.0,2015,1
3061,Texas,2,2015-01-01,1350.0,2015,1
3062,New York,3,2015-01-01,3000.0,2015,1
3063,Florida,4,2015-01-01,1550.0,2015,1
3064,Illinois,5,2015-01-01,1550.0,2015,1
3065,Pennsylvania,6,2015-01-01,1287.0,2015,1
3066,Ohio,7,2015-01-01,950.0,2015,1
3067,Michigan,8,2015-01-01,900.0,2015,1
3068,Georgia,9,2015-01-01,1100.0,2015,1
3069,North Carolina,10,2015-01-01,1095.0,2015,1
3070,New Jersey,11,2015-01-01,1800.0,2015,1
3071,Virginia,12,2015-01-01,1550.0,2015,1
3072,Washington,13,2015-01-01,1500.0,2015,1
3073,Massachusetts,14,2015-01-01,2400.0,2015,1
3074,Indiana,15,2015-01-01,950.0,2015,1
3075,Arizona,16,2015-01-01,1195.0,2015,1
3076,Tennessee,17,2015-01-01,1095.0,2015,1
3077,Missouri,18,2015-01-01,895.0,2015,1
3078,Maryland,19,2015-01-01,1695.0,2015,1
3079,Wisconsin,20,2015-01-01,1100.0,2015,1
3080,Minnesota,21,2015-01-01,1395.0,2015,1
3081,Colorado,22,2015-01-01,1495.0,2015,1
3082,Alabama,23,2015-01-01,925.0,2015,1
3083,South Carolina,24,2015-01-01,1195.0,2015,1
3084,Louisiana,25,2015-01-01,1200.0,2015,1
3085,Kentucky,26,2015-01-01,975.0,2015,1
3086,Oregon,27,2015-01-01,1395.0,2015,1
3087,Oklahoma,28,2015-01-01,1050.0,2015,1
3088,Connecticut,29,2015-01-01,1700.0,2015,1
3089,Iowa,30,2015-01-01,950.0,2015,1
3090,Mississippi,31,2015-01-01,975.0,2015,1
3091,Arkansas,32,2015-01-01,995.0,2015,1
3092,Kansas,33,2015-01-01,1050.0,2015,1
3093,Utah,34,2015-01-01,1200.0,2015,1
3094,Nevada,35,2015-01-01,1200.0,2015,1
3095,New Mexico,36,2015-01-01,1100.0,2015,1
3096,West Virginia,37,2015-01-01,1100.0,2015,1
